"file","title","category","wordCount","priority"
"cara-mendapatkan-klien-ai-consultant.md","Cara Mendapatkan Klien AI Consultant: Panduan Lengkap untuk Pemula","tutorial-ai","670","MEDIUM"
"cara-menjual-jasa-prompt-engineering.md","Cara Menjual Jasa Prompt Engineering: Panduan Lengkap Mendapatkan Klien dan Penghasilan","prompt-engineering","681","MEDIUM"
"tools-ai-untuk-content-creator.md","15 Tools AI untuk Content Creator Terbaik 2026","ai-tools","684","MEDIUM"
"ai-content-editor.md","AI Content Editor: Pengertian, Tugas, Skill, dan Cara Menjadi AI Content Editor","belajar-ai","689","MEDIUM"
"tools-ai-untuk-instagram.md","15 Tools AI untuk Instagram Terbaik 2026","ai-tools","689","MEDIUM"
"tools-ai-untuk-youtube.md","15 Tools AI untuk YouTube Terbaik 2026","ai-tools","692","MEDIUM"
"sertifikasi-ai-gratis.md","Sertifikasi AI Gratis: Cara Mendapatkan Sertifikat Artificial Intelligence Tanpa Biaya","karier-ai","696","MEDIUM"
"alternatif-chatgpt-terbaik.md","15 Alternatif ChatGPT Terbaik 2026 untuk Menulis, Belajar, dan Bisnis","ai-chatbot","702","LOW"
"ai-untuk-administrasi-perkantoran.md","AI untuk Administrasi Perkantoran","ai-untuk-bisnis","706","LOW"
"chatgpt-untuk-belajar.md","ChatGPT untuk Belajar: Cara Belajar Lebih Cepat dan Efektif dengan AI","ai-chatbot","706","LOW"
"tools-ai-untuk-tiktok.md","15 Tools AI untuk TikTok Terbaik 2026","ai-tools","708","LOW"
"50-prompt-chatgpt-untuk-sales.md","50 Prompt ChatGPT untuk Sales yang Siap Pakai untuk Meningkatkan Penjualan","ai-chatbot","710","LOW"
"bisnis-ai-untuk-pemula.md","Bisnis AI untuk Pemula: 15 Peluang Usaha Artificial Intelligence yang Bisa Dimulai Sekarang","belajar-ai","718","LOW"
"tools-ai-untuk-menulis-artikel.md","15 Tools AI untuk Menulis Artikel Terbaik 2026","ai-tools","723","LOW"
"kursus-ai-gratis-terbaik.md","Kursus AI Gratis Terbaik: 15 Tempat Belajar Artificial Intelligence Tanpa Biaya","belajar-ai","730","LOW"
"cara-menggunakan-chatgpt-untuk-belajar-lebih-efektif.md","Cara Menggunakan ChatGPT untuk Belajar Lebih Efektif","ai-chatbot","731","LOW"
"tools-ai-untuk-hrd.md","15 Tools AI untuk HRD Terbaik 2026: Rekrutmen, Screening CV, hingga Employee Engagement","ai-tools","731","LOW"
"tools-ai-untuk-marketing.md","15 Tools AI untuk Marketing Terbaik 2026","ai-tools","731","LOW"
"jasa-ai-yang-paling-laku.md","Jasa AI yang Paling Laku: 15 Layanan Artificial Intelligence dengan Permintaan Tinggi","belajar-ai","732","LOW"
"ai-untuk-hrd-dan-rekrutmen.md","AI untuk HRD dan Rekrutmen: Cara Merekrut Karyawan Lebih Efisien","ai-untuk-bisnis","737","LOW"
"tools-ai-untuk-guru.md","15 Tools AI untuk Guru Terbaik 2026","ai-tools","737","LOW"
"tools-ai-untuk-mahasiswa.md","15 Tools AI untuk Mahasiswa Terbaik 2026","ai-tools","742","LOW"
"chatgpt-untuk-guru.md","ChatGPT untuk Guru: Panduan Lengkap Menggunakan AI dalam Pembelajaran","ai-chatbot","747","LOW"
"tools-ai-untuk-bisnis.md","20 Tools AI untuk Bisnis Terbaik 2026","ai-tools","748","LOW"
"50-prompt-chatgpt-untuk-marketing.md","50 Prompt ChatGPT untuk Marketing yang Siap Pakai untuk Bisnis dan UMKM","ai-chatbot","749","LOW"
"cara-membuat-surat-lamaran-kerja-dengan-ai.md","Cara Membuat Surat Lamaran Kerja dengan AI: Panduan Lengkap untuk Fresh Graduate dan Profesional","tutorial-ai","750","LOW"
"claude-pro-vs-gratis.md","Claude Pro vs Gratis: Perbedaan Fitur, Harga, dan Apakah Layak Berlangganan?","ai-chatbot","750","LOW"
"50-prompt-chatgpt-untuk-umkm.md","50 Prompt ChatGPT untuk UMKM yang Bisa Langsung Digunakan","ai-chatbot","759","LOW"
"cara-membuat-presentasi-dengan-ai.md","Cara Membuat Presentasi dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","759","LOW"
"ai-untuk-digital-marketing.md","AI untuk Digital Marketing: Cara Meningkatkan Efektivitas Pemasaran","ai-untuk-bisnis","764","LOW"
"tools-ai-untuk-sales.md","15 Tools AI untuk Sales Terbaik 2026: Tingkatkan Penjualan dengan Artificial Intelligence","ai-tools","765","LOW"
"cara-menggunakan-chatgpt-untuk-umkm.md","Cara Menggunakan ChatGPT untuk UMKM: Panduan Praktis Meningkatkan Produktivitas dan Penjualan","ai-chatbot","767","LOW"
"tools-ai-untuk-customer-service.md","15 Tools AI untuk Customer Service Terbaik 2026: Tingkatkan Layanan Pelanggan dengan Artificial Intelligence","ai-tools","768","LOW"
"tools-ai-untuk-seo.md","15 Tools AI untuk SEO Terbaik 2026","ai-tools","769","LOW"
"cara-merangkum-jurnal-dengan-chatgpt.md","Cara Merangkum Jurnal dengan ChatGPT: Panduan Lengkap untuk Mahasiswa","ai-chatbot","773","LOW"
"cara-membuat-video-ai.md","Cara Membuat Video AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","774","LOW"
"cara-membuat-logo-dengan-ai.md","Cara Membuat Logo dengan AI: Panduan Lengkap untuk UMKM, Bisnis, dan Content Creator","tutorial-ai","778","LOW"
"roadmap-menjadi-prompt-engineer.md","Roadmap Menjadi Prompt Engineer: Panduan Lengkap dari Pemula hingga Profesional","prompt-engineering","782","LOW"
"cara-membangun-agensi-ai.md","Cara Membangun Agensi AI: Panduan Lengkap dari Freelancer hingga Bisnis AI yang Berkembang","tutorial-ai","787","LOW"
"cara-membuat-cv-dengan-ai.md","Cara Membuat CV dengan AI: Panduan Lengkap untuk Mendapatkan Pekerjaan Lebih Cepat","tutorial-ai","787","LOW"
"cara-menjadi-freelancer-ai.md","Cara Menjadi Freelancer AI: Panduan Lengkap Mendapatkan Penghasilan dari Artificial Intelligence","tutorial-ai","787","LOW"
"tools-ai-untuk-desain-grafis.md","15 Tools AI untuk Desain Grafis Terbaik 2026: Buat Desain Profesional Lebih Cepat","ai-tools","787","LOW"
"chatgpt-untuk-skripsi.md","ChatGPT untuk Skripsi: Cara Menggunakan AI Secara Efektif dan Etis","ai-chatbot","788","LOW"
"tools-ai-untuk-coding.md","15 Tools AI untuk Coding Terbaik 2026 untuk Programmer dan Developer","ai-tools","794","LOW"
"teknik-prompt-engineering-untuk-pemula.md","Teknik Prompt Engineering untuk Pemula","prompt-engineering","795","LOW"
"cara-membuat-website-dengan-ai.md","Cara Membuat Website dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","796","LOW"
"cara-membuat-gambar-dengan-ai.md","Cara Membuat Gambar dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","798","LOW"
