"file","title","category","oldDescriptionLength","newDescriptionLength","oldTagsCount","newTagsCount","descriptionChanged","tagsChanged"
"15-tools-ai-gratis-terbaik-2026.md","15 Tools AI Gratis Terbaik untuk Pemula Tahun 2026","ai-tools","247","158","7","7","true","false"
"20-prompt-ai-untuk-mahasiswa.md","20 Prompt AI untuk Mahasiswa: Belajar, Riset, Tugas, dan Presentasi","prompt-engineering","270","148","5","5","true","false"
"20-prompt-ai-untuk-siswa.md","20 Prompt AI untuk Siswa: Belajar, Rangkuman, Latihan Soal, dan Ujian","prompt-engineering","176","144","5","5","true","false"
"20-prompt-chatgpt-untuk-karyawan.md","20 Prompt ChatGPT untuk Karyawan:","ai-chatbot","257","152","6","6","true","false"
"20-prompt-chatgpt-untuk-umkm.md","20 Prompt ChatGPT untuk UMKM","ai-chatbot","252","148","7","7","true","false"
"50-prompt-chatgpt-untuk-content-creator.md","50 Prompt ChatGPT untuk Content Creator yang Bisa Langsung Digunakan","ai-chatbot","171","160","6","6","true","false"
"50-prompt-chatgpt-untuk-customer-service.md","50 Prompt ChatGPT untuk Customer Service yang Siap Pakai untuk Melayani Pelanggan Lebih Profesional","ai-chatbot","174","160","6","6","true","false"
"50-prompt-chatgpt-untuk-mahasiswa.md","50 Prompt ChatGPT untuk Mahasiswa","ai-chatbot","257","153","6","6","true","false"
"ai-chatbot-terbaik.md","AI Chatbot Terbaik 2026: Rekomendasi untuk Kerja, Belajar, Bisnis, Coding, dan Konten","ai-chatbot","309","143","9","9","true","false"
"ai-chatbot-untuk-bisnis.md","AI Chatbot untuk Bisnis: Rekomendasi Tools, Manfaat, dan Cara Menggunakannya","ai-chatbot","300","143","9","9","true","false"
"ai-chatbot-untuk-crm.md","AI Chatbot untuk CRM: Manfaat, Tools, Contoh Workflow, dan Cara Mengelola Lead Lebih Rapi","ai-chatbot","313","140","7","7","true","false"
"ai-chatbot-untuk-customer-service.md","AI Chatbot untuk Customer Service: Manfaat, Contoh, Tools, dan Cara Menggunakannya","ai-chatbot","306","153","8","8","true","false"
"ai-chatbot-untuk-email.md","AI Chatbot untuk Email: Cara Membalas, Follow-Up, Otomasi, dan Meningkatkan Konversi","ai-chatbot","308","142","8","8","true","false"
"ai-chatbot-untuk-instagram.md","AI Chatbot untuk Instagram: Manfaat, Tools, Contoh Flow, dan Strategi DM Automation","ai-chatbot","307","146","8","8","true","false"
"ai-chatbot-untuk-landing-page.md","AI Chatbot untuk Landing Page: Cara Meningkatkan Lead, Konversi, dan Penjualan","ai-chatbot","302","149","8","8","true","false"
"ai-chatbot-untuk-lead-generation.md","AI Chatbot untuk Lead Generation: Strategi, Tools, Contoh, dan Cara Meningkatkan Konversi","ai-chatbot","313","152","7","7","true","false"
"ai-chatbot-untuk-marketing.md","AI Chatbot untuk Marketing: Manfaat, Strategi, Tools, Contoh Prompt, dan Cara Meningkatkan Konversi","ai-chatbot","323","146","7","7","true","false"
"ai-chatbot-untuk-otomasi-bisnis.md","AI Chatbot untuk Otomasi Bisnis: Contoh Workflow, Tools, Strategi, dan Cara Memulainya","ai-chatbot","310","151","7","7","true","false"
"ai-chatbot-untuk-sales.md","AI Chatbot untuk Sales: Manfaat, Strategi, Tools, Contoh Prompt, dan Cara Meningkatkan Closing","ai-chatbot","318","142","7","7","true","false"
"ai-chatbot-untuk-tiktok.md","AI Chatbot untuk TikTok: Manfaat, Tools, Contoh Flow, dan Strategi Meningkatkan Lead dari Konten Viral","ai-chatbot","326","143","8","8","true","false"
"ai-chatbot-untuk-toko-online.md","AI Chatbot untuk Toko Online: Manfaat, Tools, Contoh, dan Strategi Meningkatkan Penjualan","ai-chatbot","313","148","6","6","true","false"
"ai-chatbot-untuk-website.md","AI Chatbot untuk Website: Manfaat, Tools, Contoh, dan Cara Memasangnya","ai-chatbot","178","144","6","6","true","false"
"ai-chatbot-untuk-whatsapp.md","AI Chatbot untuk WhatsApp: Manfaat, Cara Kerja, Tools, dan Contoh Penggunaan","ai-chatbot","300","145","7","7","true","false"
"ai-chatbot-untuk-youtube.md","AI Chatbot untuk YouTube: Manfaat, Tools, Contoh Flow, dan Strategi Mengubah Penonton Menjadi Lead","ai-chatbot","322","144","7","7","true","false"
"ai-tools-terbaik-untuk-produktivitas.md","AI Tools Terbaik untuk Produktivitas Kerja dan Bisnis","ai-tools","250","160","10","10","true","false"
"ai-tools-untuk-desain.md","AI Tools untuk Desain: Membuat Gambar, Logo, Poster, dan Visual Konten","ai-tools","267","141","10","10","true","false"
"ai-tools-untuk-guru.md","AI Tools untuk Guru: Membuat Materi Ajar, Soal, dan Rencana Pembelajaran","ai-tools","269","139","10","10","true","false"
"ai-tools-untuk-menulis.md","AI Tools untuk Menulis Artikel, Blog, Email, dan Copywriting","ai-tools","257","160","10","10","true","false"
"ai-tools-untuk-presentasi.md","AI Tools untuk Presentasi: Membuat Slide Lebih Cepat dan Profesional","ai-tools","265","145","10","10","true","false"
"ai-tools-untuk-riset.md","AI Tools untuk Riset: Mencari Referensi, Data, dan Insight Lebih Cepat","ai-tools","267","140","10","10","true","false"
"ai-tools-untuk-seo.md","AI Tools untuk SEO: Keyword, Artikel, Optimasi, dan Audit Website","ai-tools","262","138","10","10","true","false"
"ai-tools-untuk-social-media.md","AI Tools untuk Social Media: Ide Konten, Jadwal Posting, dan Analisis","ai-tools","266","147","10","10","true","false"
"ai-tools-untuk-umkm.md","AI Tools untuk UMKM: Tools Praktis untuk Promosi, Admin, dan Penjualan","ai-tools","267","139","10","10","true","false"
"ai-tools-untuk-video.md","AI Tools untuk Video: Script, Editing, Subtitle, dan Konten Short Form","ai-tools","267","140","10","10","true","false"
"ai-untuk-administrasi-perkantoran.md","AI untuk Administrasi Perkantoran","ai-untuk-bisnis","231","153","7","7","true","false"
"ai-untuk-bisnis.md","AI untuk Bisnis","ai-untuk-bisnis","213","135","6","6","true","false"
"ai-untuk-blogger.md","AI untuk Blogger: Riset Keyword, Outline, Artikel, SEO, dan Monetisasi","ai-untuk-content-creator","282","136","10","10","true","false"
"ai-untuk-customer-service.md","AI untuk Customer Service: Membalas Pelanggan Lebih Cepat dan Konsisten","ai-untuk-bisnis","269","145","10","10","true","false"
"ai-untuk-digital-marketing-agency.md","AI untuk Digital Marketing Agency: Konten, Iklan, Laporan, dan Strategi Klien","ai-untuk-bisnis","275","153","10","10","true","false"
"ai-untuk-dosen.md","AI untuk Dosen: Riset, Materi Kuliah, Publikasi, dan Pembelajaran","ai-untuk-pendidikan","251","134","10","10","true","false"
"ai-untuk-freelancer.md","AI untuk Freelancer","karier-ai","229","139","6","6","true","false"
"ai-untuk-guru.md","AI untuk Guru: Membuat Materi Ajar, Soal, Rubrik, dan Administrasi","ai-untuk-pendidikan","252","133","10","10","true","false"
"ai-untuk-hrd-dan-rekrutmen.md","AI untuk HRD dan Rekrutmen: Cara Merekrut Karyawan Lebih Efisien","ai-untuk-bisnis","262","146","7","7","true","false"
"ai-untuk-instagram-creator.md","AI untuk Instagram Creator: Reels, Caption, Carousel, dan DM Automation","ai-untuk-content-creator","283","146","10","10","true","false"
"ai-untuk-jasa-profesional.md","AI untuk Jasa Profesional: Cara Meningkatkan Produktivitas dan Pelayanan Klien","ai-untuk-bisnis","178","145","7","7","true","false"
"ai-untuk-kursus-online.md","AI untuk Kursus Online: Materi, Kuis, Landing Page, dan Marketing","ai-untuk-pendidikan","251","142","10","10","true","false"
"ai-untuk-mahasiswa.md","AI untuk Mahasiswa: Belajar, Riset, Skripsi, Presentasi, dan Produktivitas","ai-untuk-pendidikan","260","138","10","10","true","false"
"ai-untuk-marketing.md","AI untuk Marketing: Strategi, Tools, Prompt, dan Contoh Penerapan","ai-untuk-bisnis","263","138","10","10","true","false"
"ai-untuk-pemula.md","AI untuk Pemula: Panduan Lengkap Memahami dan Menggunakan AI dari Nol","belajar-ai","242","132","10","10","true","false"
"ai-untuk-penjualan.md","AI untuk Penjualan","ai-untuk-bisnis","216","138","6","6","true","false"
"ai-untuk-podcaster.md","AI untuk Podcaster: Ide Episode, Script, Transkrip, dan Promosi Konten","ai-untuk-content-creator","282","138","10","10","true","false"
"ai-untuk-produktivitas.md","AI untuk Produktivitas","tutorial-ai","218","156","6","6","true","false"
"ai-untuk-sales.md","AI untuk Sales: Cara Meningkatkan Follow-Up, Closing, dan Produktivitas Tim","ai-untuk-bisnis","273","134","10","10","true","false"
"ai-untuk-siswa.md","AI untuk Siswa: Cara Belajar Lebih Mudah, Aman, dan Bertanggung Jawab","ai-untuk-pendidikan","255","134","10","10","true","false"
"ai-untuk-tiktoker.md","AI untuk TikToker: Ide Video, Hook, Script, Caption, dan Kalender Konten","ai-untuk-content-creator","284","137","10","10","true","false"
"ai-untuk-toko-online.md","AI untuk Toko Online","ai-untuk-bisnis","218","140","7","7","true","false"
"ai-untuk-umkm-online-shop.md","AI untuk UMKM Online Shop: Promosi, Admin, WhatsApp, dan Penjualan","ai-untuk-bisnis","264","145","10","10","true","false"
"ai-untuk-youtuber.md","AI untuk YouTuber: Ide Konten, Script, Thumbnail, SEO, dan Workflow","ai-untuk-content-creator","279","137","10","10","true","false"
"apa-itu-ai.md","Apa Itu Artificial Intelligence (AI)?","belajar-ai","210","154","6","6","true","false"
"apakah-ai-akan-menggantikan-pekerjaan-manusia.md","Apakah AI Akan Menggantikan Pekerjaan Manusia?","belajar-ai","219","154","6","6","true","false"
"cara-belajar-prompt-engineering.md","Cara Belajar Prompt Engineering: Panduan Lengkap untuk Pemula Tahun 2026","prompt-engineering","275","151","7","7","true","false"
"cara-membangun-agensi-ai.md","Cara Membangun Agensi AI: Panduan Lengkap dari Freelancer hingga Bisnis AI yang Berkembang","tutorial-ai","166","158","7","7","true","false"
"cara-membangun-portofolio-ai.md","Cara Membangun Portofolio AI untuk Kerja, Freelance, dan Karier Digital","karier-ai","281","159","10","10","true","false"
"cara-membuat-aplikasi-ai.md","Cara Membuat Aplikasi AI: Panduan Lengkap untuk Pemula dan Bisnis","tutorial-ai","173","158","7","7","true","false"
"cara-membuat-chatbot-dengan-ai.md","Cara Membuat Chatbot dengan AI: Panduan Lengkap untuk Bisnis dan UMKM","tutorial-ai","164","150","7","7","true","false"
"cara-membuat-konten-dengan-ai.md","Cara Membuat Konten dengan AI","tutorial-ai","225","149","7","7","true","false"
"cara-membuat-logo-dengan-ai.md","Cara Membuat Logo dengan AI: Panduan Lengkap untuk UMKM, Bisnis, dan Content Creator","tutorial-ai","164","147","7","7","true","false"
"cara-membuat-presentasi-dengan-ai.md","Cara Membuat Presentasi dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","168","153","7","7","true","false"
"cara-membuat-saas-ai.md","Cara Membuat SaaS AI: Panduan Lengkap Membangun Bisnis Software AI","tutorial-ai","180","154","7","7","true","false"
"cara-membuat-surat-lamaran-kerja-dengan-ai.md","Cara Membuat Surat Lamaran Kerja dengan AI: Panduan Lengkap untuk Fresh Graduate dan Profesional","tutorial-ai","168","150","7","7","true","false"
"cara-membuat-toko-online-dengan-ai.md","Cara Membuat Toko Online dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","165","154","7","7","true","false"
"cara-memilih-ai-chatbot.md","Cara Memilih AI Chatbot yang Tepat untuk Kerja, Bisnis, Belajar, dan Customer Service","ai-chatbot","309","159","8","8","true","false"
"cara-mendapatkan-pekerjaan-ai.md","Cara Mendapatkan Pekerjaan AI: Panduan Lengkap Memulai Karier di Bidang Artificial Intelligence","tutorial-ai","291","149","7","7","true","false"
"cara-menggunakan-ai-untuk-belajar.md","Cara Menggunakan AI untuk Belajar Lebih Cepat dan Terarah","tutorial-ai","253","160","10","10","true","false"
"cara-menggunakan-ai-untuk-email.md","Cara Menggunakan AI untuk Membuat Email Profesional dan Follow-Up","tutorial-ai","261","159","10","10","true","false"
"cara-menggunakan-ai-untuk-excel.md","Cara Menggunakan AI untuk Excel, Spreadsheet, dan Analisis Data Sederhana","tutorial-ai","269","160","10","10","true","false"
"cara-menggunakan-ai-untuk-kerja.md","Cara Menggunakan AI untuk Kerja Sehari-hari agar Lebih Produktif","tutorial-ai","260","160","10","10","true","false"
"cara-menggunakan-ai-untuk-membuat-konten.md","Cara Menggunakan AI untuk Membuat Konten Harian Lebih Konsisten","tutorial-ai","259","160","10","10","true","false"
"cara-menggunakan-ai-untuk-membuat-presentasi.md","Cara Menggunakan AI untuk Membuat Presentasi Profesional","tutorial-ai","252","160","10","10","true","false"
"cara-menggunakan-ai-untuk-menulis-artikel.md","Cara Menggunakan AI untuk Menulis Artikel Blog dari Nol","tutorial-ai","251","160","10","10","true","false"
"cara-menggunakan-ai-untuk-notulen-rapat.md","Cara Menggunakan AI untuk Notulen Rapat, Ringkasan, dan Action Items","tutorial-ai","264","160","10","10","true","false"
"cara-menggunakan-ai-untuk-riset.md","Cara Menggunakan AI untuk Riset, Merangkum, dan Menganalisis Informasi","tutorial-ai","266","160","10","10","true","false"
"cara-menggunakan-ai-untuk-seo.md","Cara Menggunakan AI untuk SEO Website dan Artikel Blog","tutorial-ai","250","160","10","10","true","false"
"cara-menggunakan-chatgpt-untuk-pekerjaan-sehari-hari.md","Cara Menggunakan ChatGPT untuk Pekerjaan Sehari-hari","ai-chatbot","276","160","6","6","true","false"
"cara-menggunakan-chatgpt-untuk-umkm.md","Cara Menggunakan ChatGPT untuk UMKM: Panduan Praktis Meningkatkan Produktivitas dan Penjualan","ai-chatbot","165","155","7","7","true","false"
"cara-menggunakan-cursor-ai.md","Cara Menggunakan Cursor AI: Panduan Lengkap untuk Pemula Tahun 2026","ai-chatbot","291","146","7","7","true","false"
"cara-menggunakan-github-copilot.md","Cara Menggunakan GitHub Copilot: Panduan Lengkap untuk Pemula Tahun 2026","ai-chatbot","296","151","7","7","true","false"
"cara-menghasilkan-uang-dengan-ai.md","Cara Menghasilkan Uang dengan AI: Panduan Praktis untuk Pemula","tutorial-ai","161","152","7","7","true","false"
"cara-menjadi-freelancer-ai.md","Cara Menjadi Freelancer AI: Panduan Lengkap Mendapatkan Penghasilan dari Artificial Intelligence","tutorial-ai","174","160","7","7","true","false"
"cara-menulis-prompt-chatgpt-yang-efektif.md","Cara Menulis Prompt ChatGPT yang Efektif","ai-chatbot","264","160","7","7","true","false"
"chatgpt-untuk-customer-service.md","ChatGPT untuk Customer Service: Cara Menggunakan AI untuk Meningkatkan Layanan Pelanggan","ai-chatbot","176","150","6","6","true","false"
"chatgpt-untuk-marketing.md","ChatGPT untuk Marketing: Cara Menggunakan AI untuk Meningkatkan Strategi Pemasaran","ai-chatbot","167","143","6","6","true","false"
"chatgpt-untuk-pemula.md","ChatGPT untuk Pemula","ai-chatbot","244","140","6","6","true","false"
"chatgpt-untuk-pendidikan.md","ChatGPT untuk Pendidikan: Cara Belajar dan Mengajar Lebih Efektif dengan AI","ai-chatbot","162","144","6","6","true","false"
"chatgpt-untuk-penelitian.md","ChatGPT untuk Penelitian: Panduan Lengkap Menggunakan AI untuk Riset Akademik","ai-chatbot","301","144","6","6","true","false"
"chatgpt-untuk-skripsi.md","ChatGPT untuk Skripsi: Cara Menggunakan AI Secara Efektif dan Etis","ai-chatbot","162","141","6","6","true","false"
