"file","slug","title","category","pubDate","author","draft","featured","tagsCount","wordCount","internalLinksCount","issuesCount","issues"
"15-tools-ai-gratis-terbaik-2026.md","15-tools-ai-gratis-terbaik-2026","15 Tools AI Gratis Terbaik untuk Pemula Tahun 2026","ai-tools","2026-06-13","AI Praktis Indonesia","false","false","7","1170","14","0",""
"20-prompt-ai-untuk-guru.md","20-prompt-ai-untuk-guru","20 Prompt AI untuk Guru: Materi Ajar, Soal, Rubrik, dan Aktivitas Kelas","prompt-engineering","2026-06-15","AI Praktis Indonesia","false","false","5","1898","16","0",""
"20-prompt-ai-untuk-mahasiswa.md","20-prompt-ai-untuk-mahasiswa","20 Prompt AI untuk Mahasiswa: Belajar, Riset, Tugas, dan Presentasi","prompt-engineering","2026-06-15","AI Praktis Indonesia","false","false","5","1834","16","0",""
"20-prompt-ai-untuk-siswa.md","20-prompt-ai-untuk-siswa","20 Prompt AI untuk Siswa: Belajar, Rangkuman, Latihan Soal, dan Ujian","prompt-engineering","2026-06-15","AI Praktis Indonesia","false","false","5","1867","17","0",""
"20-prompt-chatgpt-untuk-karyawan.md","20-prompt-chatgpt-untuk-karyawan","20 Prompt ChatGPT untuk Karyawan:","ai-chatbot","2026-06-13","AI Praktis Indonesia","false","false","6","988","10","0",""
"20-prompt-chatgpt-untuk-umkm.md","20-prompt-chatgpt-untuk-umkm","20 Prompt ChatGPT untuk UMKM","ai-chatbot","2026-06-13","AI Praktis Indonesia","false","false","7","1134","17","0",""
"50-prompt-chatgpt-untuk-content-creator.md","50-prompt-chatgpt-untuk-content-creator","50 Prompt ChatGPT untuk Content Creator yang Bisa Langsung Digunakan","ai-chatbot","2026-06-21","AI Praktis Indonesia","false","false","6","861","12","0",""
"50-prompt-chatgpt-untuk-customer-service.md","50-prompt-chatgpt-untuk-customer-service","50 Prompt ChatGPT untuk Customer Service yang Siap Pakai untuk Melayani Pelanggan Lebih Profesional","ai-chatbot","2026-06-20","AI Praktis Indonesia","false","false","6","823","13","0",""
"50-prompt-chatgpt-untuk-guru.md","50-prompt-chatgpt-untuk-guru","50 Prompt ChatGPT untuk Guru","ai-chatbot","2026-06-15","AI Praktis Indonesia","false","false","6","810","12","0",""
"50-prompt-chatgpt-untuk-mahasiswa.md","50-prompt-chatgpt-untuk-mahasiswa","50 Prompt ChatGPT untuk Mahasiswa","ai-chatbot","2026-06-15","AI Praktis Indonesia","false","false","6","837","14","0",""
